"id","location_srs","location_x","location_y","operator","elevation","slope","aspect","region","country","geometry","area","map_class","map_class_label","actively_saved","actively_saved_on_year","actively_saved_on_month","actively_saved_on_day","plot_file","ref_class","ref_class_label","confidence","confidence_label","comments"
"409","EPSG:4326","106.767246774252","12.165480452724","sereyoudom","143","0.00324208289868159","4.92315554080674","Krâchéh","Cambodia","points","1.0","Non Forest stable","Non Forest stable","true","2017","9","13","pts_grp_6.csv","Non Forest stable","Non Forest stable","hi","High",""
"93","EPSG:4326","107.068755955215","13.8928793911101","sophyra","183","0.0166984261463986","1.37458562202124","Rôtânôkiri","Cambodia","points","1.0","Management","Management","true","2017","9","15","pts_grp_6.csv","Management","Management","hi","High",""
"910","EPSG:4326","104.142826790621","11.5106653132067","remi_linux","125","0.00910690110280594","3.44837312789715","Kâmpóng Spœ","Cambodia","points","1.0","Degradation","Degradation","true","2017","9","14","pts_grp_6.csv","Degradation","Degradation","hi","High",""
"633","EPSG:4326","103.435133371356","13.0886315460939","sereyoudom","9","0.001289509676967","0.327677067638907","Batdâmbâng","Cambodia","points","1.0","Forest stable","Forest stable","true","2017","9","13","pts_grp_6.csv","Forest stable","Forest stable","hi","High",""
"696","EPSG:4326","106.218327572073","13.0573056504291","sereyoudom","52","0.00118219020840019","4.101316843395","Krâchéh","Cambodia","points","1.0","Forest stable","Forest stable","true","2017","9","13","pts_grp_6.csv","Forest stable","Forest stable","hi","High",""
"364","EPSG:4326","107.207316249518","13.8287958046427","sereyoudom","369","0.0642713115189662","5.32293029909571","Rôtânôkiri","Cambodia","points","1.0","Forest stable","Forest stable","true","2017","9","13","pts_grp_6.csv","Forest stable","Forest stable","hi","High",""
"286","EPSG:4326","107.411975671377","12.9725807084272","sereyoudom","203","0.0236876539758865","2.09886695077734","Môndól Kiri","Cambodia","points","1.0","Forest stable","Forest stable","true","2017","9","13","pts_grp_6.csv","Forest stable","Forest stable","hi","High",""
"755","EPSG:4326","103.308280390143","11.0848703226085","sereyoudom","28","0.00884739259596943","3.45719484020653","Kaôh Kong","Cambodia","points","1.0","Forest stable","Forest stable","true","2017","9","13","pts_grp_6.csv","Forest stable","Forest stable","hi","High",""
"446","EPSG:4326","105.47735189103","12.5466618095202","sereyoudom","68","0.0065638321373479","6.15666433170106","Kâmpóng Thum","Cambodia","points","1.0","Non Forest stable","Non Forest stable","true","2017","9","13","pts_grp_6.csv","Non Forest stable","Non Forest stable","hi","High",""
"183","EPSG:4326","106.096739281549","13.2565945412693","khidorang","70","0.00500289248437078","2.74379358377069","Krâchéh","Cambodia","points","1.0","Forest stable","Forest stable","true","2017","9","13","check_gp1_FNF_20170913.csv","Forest stable","Forest stable","hi","High",""
"847","EPSG:4326","107.265652912399","13.5398048557006","sereyoudom","160","0.0032591035429569","1.78044569188902","Rôtânôkiri","Cambodia","points","1.0","Forest stable","Forest stable","true","2017","9","13","pts_grp_6.csv","Forest stable","Forest stable","hi","High",""
"96","EPSG:4326","105.09372961254","13.1342977995903","sophyra","98","0.0123677552833076","1.74719640518025","Preah Vihéar","Cambodia","points","1.0","Deforestation rubber","Deforestation rubber","true","2017","9","15","pts_grp_6.csv","Deforestation rubber","Deforestation rubber","hi","High",""
"174","EPSG:4326","102.937152029431","12.6176838943725","sereyoudom","98","0.00349886285310548","5.59977307489577","Batdâmbâng","Cambodia","points","1.0","Non Forest stable","Non Forest stable","true","2017","9","13","pts_grp_6.csv","Non Forest stable","Non Forest stable","hi","High",""
"156","EPSG:4326","105.230500708494","13.7910333533665","norin123","75","0.00192700094222474","4.35269753982815","Preah Vihéar","Cambodia","points","1.0","Enhancement","Enhancement","true","2017","9","14","pts_grp_6.csv","Deforestation crops","Deforestation crops","hi","High",""
"249","EPSG:4326","102.953440008967","13.1173355755223","sereyoudom","24","0.00148619199664758","1.94454564119842","Batdâmbâng","Cambodia","points","1.0","Management","Management","true","2017","9","13","pts_grp_6.csv","Non Forest stable","Non Forest stable","hi","High",""
"558","EPSG:4326","103.754610127966","10.7482672429843","sereyoudom","78","0.027095684871508","4.90375653931824","Krong Preah Sihanouk","Cambodia","points","1.0","Degradation","Degradation","true","2017","9","13","pts_grp_6.csv","Deforestation other","Deforestation other","hi","High",""
"544","EPSG:4326","105.167058591055","13.400495840684","chealy","46","0.00404303074838035","2.79189453924129","Preah Vihéar","Cambodia","points","1.0","Deforestation other","Deforestation other","true","2017","9","13","check_gp3_Dfo_20170913.csv","Non Forest stable","Non Forest stable","hi","High",""
