id,YCoordi0te,XCoordi0te,elevation,slope,aspect,region,country,geometry,area,map_class
417,13.84470034,105.4778849,116,0.005081293,1.272737917,Preah Vihéar,Cambodia,points,1,Deforestation rubber
611,13.85944315,107.1479625,205,0.010171383,1.758609665,Rôtânôkiri,Cambodia,points,1,Deforestation rubber
270,14.06230057,104.4142944,103,0.003893396,2.444216576,Siemréab,Cambodia,points,1,Deforestation rubber
137,10.67412831,103.6144371,49,0.005591016,1.375453504,Krong Preah Sihanouk,Cambodia,points,1,Degradation
601,10.67404766,103.6213311,41,0.017769275,3.017824237,Krong Preah Sihanouk,Cambodia,points,1,Degradation
541,10.68077495,103.6140757,66,0.014943647,3.086513185,Krong Preah Sihanouk,Cambodia,points,1,Degradation
184,10.67948805,103.6168349,84,0.015552168,3.795532833,Krong Preah Sihanouk,Cambodia,points,1,Degradation
338,10.68638702,103.6057242,88,0.012962079,2.440198253,Krong Preah Sihanouk,Cambodia,points,1,Degradation
333,10.74868848,103.7437733,31,0.019349517,4.442756913,Krong Preah Sihanouk,Cambodia,points,1,Degradation
558,10.74826724,103.7546101,78,0.027095685,4.903756539,Krong Preah Sihanouk,Cambodia,points,1,Degradation
693,10.75442178,103.7490862,36,0.016834132,5.423485785,Krong Preah Sihanouk,Cambodia,points,1,Degradation
352,10.75401222,103.7533411,42,0.024681054,5.83495729,Krong Preah Sihanouk,Cambodia,points,1,Degradation
128,11.37510715,104.2394726,74,0.00371313,0.419370672,Kâmpóng Spœ,Cambodia,points,1,Degradation
500,11.37636627,104.2453612,73,0.003409861,0.50488839,Kâmpóng Spœ,Cambodia,points,1,Degradation
201,11.37856054,104.2251544,75,0.004375624,0.125982054,Kâmpóng Spœ,Cambodia,points,1,Degradation
22,11.38316622,104.2318444,75,0.004375624,0.125982054,Kâmpóng Spœ,Cambodia,points,1,Degradation
447,11.38104487,104.2433863,73,0.003409861,0.50488839,Kâmpóng Spœ,Cambodia,points,1,Degradation
167,11.38086524,104.2467634,73,0.003409861,0.50488839,Kâmpóng Spœ,Cambodia,points,1,Degradation
686,11.3882657,104.2301487,70,0.00319486,0.216809946,Kâmpóng Spœ,Cambodia,points,1,Degradation
434,11.38609628,104.2329952,70,0.00319486,0.216809946,Kâmpóng Spœ,Cambodia,points,1,Degradation
670,11.38656948,104.2436129,69,0.004257976,0.468934438,Kâmpóng Spœ,Cambodia,points,1,Degradation
123,11.39669018,104.2261153,69,0.002677982,0.423142886,Kâmpóng Spœ,Cambodia,points,1,Degradation
237,11.478892,104.1169697,157,0.038289657,1.268769453,Kâmpóng Spœ,Cambodia,points,1,Degradation
736,11.48579638,104.1970091,80,0.001938588,0.692363494,Kâmpóng Spœ,Cambodia,points,1,Degradation
95,11.49131784,104.1068729,192,0.07204034,0.719833135,Kâmpóng Spœ,Cambodia,points,1,Degradation
363,11.49129104,104.1192117,157,0.021732443,1.292614513,Kâmpóng Spœ,Cambodia,points,1,Degradation
44,11.49264995,104.1239546,146,0.018935163,1.412542886,Kâmpóng Spœ,Cambodia,points,1,Degradation
279,11.49252541,104.1293868,134,0.01339302,1.479515732,Kâmpóng Spœ,Cambodia,points,1,Degradation
732,11.49076266,104.1995243,80,0.001938588,0.692363494,Kâmpóng Spœ,Cambodia,points,1,Degradation
502,11.49350353,104.0938758,212,0.045852683,1.078070629,Kâmpóng Spœ,Cambodia,points,1,Degradation
486,11.49412912,104.1011489,208,0.023452616,1.271401658,Kâmpóng Spœ,Cambodia,points,1,Degradation
839,11.49428658,104.1177332,146,0.018935163,1.412542886,Kâmpóng Spœ,Cambodia,points,1,Degradation
