"id","YCoordinate","XCoordinate","elevation","slope","aspect","region","country","geometry","area","map_class","group"
"471","11.1979477294396","103.346173439771","29","0.00724166046505234","3.63564451664898","Kaôh Kong","Cambodia","points","1","Deforestation crops",3
"487","11.7489714874327","104.560931371537","41","0.00257005127666886","5.71807336963575","Kâmpóng Spœ","Cambodia","points","1","Non Forest stable",3
"184","10.6794880544812","103.616834907155","84","0.0155521679061621","3.7955328330052","Krong Preah Sihanouk","Cambodia","points","1","Degradation",3
"29","10.7097719363339","104.79398749238","6","0.00038579281763848","0.790830304578405","Takêv","Cambodia","points","1","Non Forest stable",3
"272","14.0868220861111","104.929912526838","69","0.00403688226270559","1.94942010900181","Preah Vihéar","Cambodia","points","1","Forest stable",3
"786","11.496530122998","104.135500335108","123","0.0108633753271461","1.58328357007504","Kâmpóng Spœ","Cambodia","points","1","Management",3
"63","12.1619723326078","106.816551049995","135","0.010754476213461","2.77454085469595","Môndól Kiri","Cambodia","points","1","Deforestation crops",3
"404","14.1907935114385","107.325669843335","167","0.0665862003046984","2.4198397984249","Rôtânôkiri","Cambodia","points","1","Forest stable",3
"908","11.6783853979742","105.066600907996","15","0.00159867073597931","5.24656308979235","Kândal","Cambodia","points","1","Non Forest stable",3
"749","13.1028929305298","103.291470192881","13","0.000429839783888382","0.327697688446392","Batdâmbâng","Cambodia","points","1","Non Forest stable",3
"563","13.0687725185521","105.424415366148","96","0.0185229194939766","1.20379515635229","Kâmpóng Thum","Cambodia","points","1","Enhancement",3
"773","13.467742451462","104.923028215869","84","0.00235940584017431","4.65486177636878","Preah Vihéar","Cambodia","points","1","Deforestation rubber",3
"585","12.0865683621237","106.64928996117","127","0.00140447870316458","4.90678641020714","Krâchéh","Cambodia","points","1","Deforestation rubber",3
"255","12.3283988005283","104.9099428958","10","0.000429704250556476","5.95641669140994","Kâmpóng Thum","Cambodia","points","1","Non Forest stable",3
"784","14.0799054402538","103.254965177518","50","0.00237124388455144","0.961751350091093","Otdar Mean Chey","Cambodia","points","1","Deforestation other",3
"15","13.8381152644896","105.448604314975","127","0.00279147658728117","2.13478083075278","Preah Vihéar","Cambodia","points","1","Deforestation rubber",3
"554","13.4810446145884","106.214566022188","135","0.017084955591114","5.45313506038498","Stœng Trêng","Cambodia","points","1","Forest stable",3
"90","12.7727448078041","105.498569902295","92","0.00817973551386085","1.65381143740649","Kâmpóng Thum","Cambodia","points","1","Deforestation crops",3
"909","11.0982691840216","103.422808856128","11","0.00610637537226291","0.36804041328598","Kaôh Kong","Cambodia","points","1","Enhancement",3
"596","12.3926933294572","103.527072598395","431","0.0519919001930255","3.64511337261222","Pouthisat","Cambodia","points","1","Forest stable",3
"725","12.7577461336061","105.329240309603","78","0.00627302223493252","0.480807018841173","Kâmpóng Thum","Cambodia","points","1","Deforestation rubber",3
"896","13.2450836103026","105.152165684133","78","0.00864403386505705","1.04467787492169","Preah Vihéar","Cambodia","points","1","Forest stable",3
"14","14.0742083718748","104.910346680593","74","0.00404902601896015","1.47011720794816","Preah Vihéar","Cambodia","points","1","Non Forest stable",3
"145","11.1105941992707","104.046867801742","211","0.118973017983933","5.11466984497819","Kaôh Kong","Cambodia","points","1","Forest stable",3
"151","11.2546455673205","103.765796456942","10","0","1.5707963267949","Kaôh Kong","Cambodia","points","1","Non Forest stable",3
"759","11.4780676803434","105.830836651319","11","0.0002749952726003","4.71238898038469","Svay Rieng","Cambodia","points","1","Non Forest stable",3
"228","14.1815256736678","104.336852051849","108","0.0144346876298778","0.213424341564494","Otdar Mean Chey","Cambodia","points","1","Non Forest stable",3
"545","11.8689821918472","105.809280401473","25","0.00176888581967605","3.21951248524524","Tbong Khmum","Cambodia","points","1","Non Forest stable",3
"110","12.231337927631","105.846499923715","17","0.000794447959669373","2.59398287355399","Krâchéh","Cambodia","points","1","Deforestation other",3
